time,high,low,open,volumefrom,volumeto,close
2023-05-03,1916.17,1844.78,1871.76,233750.96,438240180.13,1906.04
2023-05-04,1917.18,1868.88,1906.04,166275.76,314539294.6,1878.59
2023-05-05,2000.29,1877.51,1878.59,349046.71,680967049.89,1996.13
2023-05-06,2018.09,1866.45,1996.13,259808.91,501429621.42,1901.94
2023-05-07,1938.6,1877.94,1901.94,164250.83,313882607.91,1879.47
2023-05-08,1893.06,1815.78,1879.47,358039.78,664714401.47,1853.94
2023-05-09,1863.13,1838.55,1853.94,183036.48,338236687.64,1848.91
2023-05-10,1888.41,1792.58,1848.91,333023.49,615019660.03,1842.62
2023-05-11,1843.1,1773.59,1842.62,241294.66,435960460.99,1795.51
2023-05-12,1816.48,1740.86,1795.51,263545.14,467334013.56,1808.28
2023-05-13,1816.94,1787.56,1808.28,96551.76,173889132.85,1796.08
2023-05-14,1824.28,1792.12,1796.08,93964.15,169553393.6,1800.16
2023-05-15,1846.84,1786.44,1800.16,207683.14,379365245.9,1817.04
2023-05-16,1832.36,1797.37,1817.04,157669.82,286581998.35,1824.54
2023-05-17,1836.15,1784.88,1824.54,163159.24,295642800.65,1822.22
2023-05-18,1831.69,1772.4,1822.22,144759.04,261830100.8,1800.84
2023-05-19,1829.37,1797.55,1800.84,110034.32,199390959.13,1812.74
2023-05-20,1829.55,1807.6,1812.74,64450.51,117125781.65,1820.0
2023-05-21,1829.11,1799.27,1820.0,60806.67,110171780.38,1805.38
2023-05-22,1828.61,1792.65,1805.38,110111.78,199800403.15,1817.83
2023-05-23,1871.1,1815.76,1817.83,156839.5,290332107.99,1854.48
2023-05-24,1854.71,1778.69,1854.48,172516.4,311671841.31,1799.99
2023-05-25,1818.3,1762.69,1799.99,153676.49,275579486.08,1806.04
2023-05-26,1838.57,1797.48,1806.04,120144.9,218981012.22,1828.68
2023-05-27,1836.85,1815.82,1828.68,49371.95,90250026.95,1830.98
2023-05-28,1916.88,1824.86,1830.98,139620.13,260979861.41,1909.28
2023-05-29,1927.41,1875.5,1909.28,149316.44,283875868.0,1893.17
2023-05-30,1917.42,1882.96,1893.17,158799.67,302468580.12,1901.19
2023-05-31,1907.76,1848.86,1901.19,171137.97,320126617.18,1874.03
2023-06-01,1888.53,1841.67,1874.03,167049.82,311566762.29,1862.24
2023-06-02,1910.56,1848.47,1862.24,171651.3,324600206.34,1907.36
2023-06-03,1909.45,1883.38,1907.36,69584.33,132138660.62,1892.63
2023-06-04,1913.76,1885.28,1892.63,73559.24,139808423.0,1890.37
2023-06-05,1891.16,1779.9,1890.37,259032.43,475161890.31,1811.47
2023-06-06,1897.07,1798.32,1811.47,216474.64,399470424.17,1886.35
2023-06-07,1899.05,1821.13,1886.35,202548.31,376467803.89,1832.56
2023-06-08,1861.23,1829.28,1832.56,96262.81,177740176.57,1846.12
2023-06-09,1855.2,1827.89,1846.12,105256.6,193799820.21,1840.51
2023-06-10,1845.05,1718.43,1840.51,291279.53,512816424.25,1752.49
2023-06-11,1777.75,1739.68,1752.49,97978.89,171893158.83,1753.15
2023-06-12,1758.52,1720.3,1753.15,157478.22,273713982.1,1742.66
2023-06-13,1765.63,1724.83,1742.66,165216.57,287829194.43,1739.4
2023-06-14,1749.8,1631.71,1739.4,215882.85,365982713.53,1650.8
2023-06-15,1677.32,1622.51,1650.8,225782.07,371752813.77,1665.43
2023-06-16,1727.38,1650.36,1665.43,147238.46,248248593.82,1716.87
2023-06-17,1764.23,1713.46,1716.87,77876.38,135246610.67,1727.25
2023-06-18,1747.15,1714.24,1727.25,61009.73,105602986.61,1720.51
2023-06-19,1750.51,1702.53,1720.51,110080.68,189833856.65,1736.79
2023-06-20,1796.2,1714.37,1736.79,204826.38,360202462.41,1792.7
2023-06-21,1901.09,1787.65,1792.7,329097.67,608041064.43,1889.61
2023-06-22,1932.43,1867.05,1889.61,226530.23,430137565.01,1872.42
2023-06-23,1935.61,1862.87,1872.42,191917.53,364062998.23,1893.52
2023-06-24,1906.41,1865.87,1893.52,85491.92,161217137.17,1875.91
